ISBN,AvgBookRating,NumberOfRating,BookTitle,BookAuthor,YearOfPublication,Publisher,new_score
0517122707,3.4545454545454546,77,A Confederacy of Dunces,John Kennedy Toole,1995,Outlet Books Company,1.6922234753796295
0802130208,3.5755395683453237,139,A Confederacy of Dunces (Evergreen Book),John Kennedy Toole,1987,Grove Press,1.7707286726648566
0671886665,2.4239130434782608,92,A Cry In The Night,Mary Higgins Clark,1993,Pocket,1.432130550248057
0345425707,3.111111111111111,54,A Cup of Tea (Ballantine Reader's Circle),Amy Ephron,1998,Ballantine Books,1.6017950644265146
0440217490,1.9175257731958764,97,A Dangerous Fortune,Ken Follett,1994,Island,1.292035122557173
0446667900,3.2577319587628866,97,A Darkness More Than Night,Michael Connelly,2002,Warner Vision,1.6543003766840654
0670896764,2.0784313725490198,51,A Day Late and a Dollar Short,Terry McMillan,2001,Viking Books,1.4002849903451318
140003065X,2.9745222929936306,157,A Fine Balance,Rohinton Mistry,2001,Vintage Books USA,1.582960247103839
0553573403,4.2988505747126435,87,"A Game of Thrones (A Song of Ice and Fire, Book 1)",George R.R. Martin,1997,Spectra Books,1.9170163905454007
0767915054,2.480769230769231,104,A Girl Named Zippy: Growing Up Small in Mooreland Indiana (Today Show Book Club #3),HAVEN KIMMEL,2002,Broadway Books,1.4405702329984662
0553278029,1.8556701030927836,97,A Great Deliverance,Elizabeth George,1989,Bantam Books,1.2753151877513165
0684863472,3.1044776119402986,67,A Heartbreaking Work Of Staggering Genius : A Memoir Based on a True Story,Dave Eggers,2000,Simon &amp; Schuster,1.6046331922096249
0375725784,3.423841059602649,302,A Heartbreaking Work of Staggering Genius,Dave Eggers,2001,Vintage Books USA,1.7772862228231094
0553279912,2.7333333333333334,285,A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),SUE GRAFTON,1987,Bantam,1.4994199537532145
0345423402,3.876543209876543,81,A Kiss of Shadows (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2002,Ballantine Books,1.800160886669202
0375702709,3.3385416666666665,192,A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,1997,Vintage Books USA,1.7149297335059674
0140254544,3.2660550458715596,109,A Light in the Window (The Mitford Years),Jan Karon,1996,Penguin Books,1.661799311086761
0451188489,3.19672131147541,61,A Maiden's Grave,Jeff Deaver,1996,Signet Book,1.622522110461622
0452281903,3.223404255319149,94,A Man Named Dave: A Story of Triumph and Forgiveness,David J. Pelzer,2000,Plume Books,1.6438012459210922
0374270325,2.9206349206349205,63,A Man in Full,Tom Wolfe,1998,Farrar Straus &amp; Giroux,1.5633319518662667
0385720106,2.428125,320,A Map of the World,Jane Hamilton,1999,Anchor Books/Doubleday,1.375720703513713
0140270590,2.893939393939394,66,A New Song (Mitford Years (Paperback)),Jan Karon,2000,Viking Books,1.557298634474903
0553278274,3.1641791044776117,67,A Night to Remember,WALTER LORD,1997,Bantam,1.618074912703332
044023722X,3.187017001545595,647,A Painted House,John Grisham,2001,Dell Publishing Company,1.7291432420497928
0156711427,3.1666666666666665,66,A Passage to India,E.M. Forster,1965,Harvest Books,1.61821920336258
080411918X,2.6831683168316833,101,A Patchwork Planet,ANNE TYLER,2001,Ballantine Books,1.497855094581109
0449003981,3.257575757575758,66,A Patchwork Planet (Ballantine Reader's Circle),Anne Tyler,1999,Ballantine Books,1.6385260596584725
0440168724,2.423076923076923,52,A Perfect Stranger,Danielle Steel,1983,Dell,1.4660790672648636
0449223345,2.1129032258064515,62,A Pirate Looks at Fifty,Jimmy Buffett,1999,Fawcett Books,1.3888291376566144
0449225151,1.8676470588235294,68,A Place Called Freedom,Ken Follett,1996,Fawcett Books,1.3242969681910182
0312979533,2.9615384615384617,52,A Place of Execution,Val McDermid,2001,St. Martin's Paperbacks,1.5717361232561837
0345361792,3.7815533980582523,412,A Prayer for Owen Meany,John Irving,1990,Ballantine Books,1.9543722790057259
0671776975,3.0,63,A RIVER RUNS THROUGH IT AND OTHER STORIES : AND OTHER STORIES,Norman Maclean,1992,Pocket,1.5806280449739503
0671793535,2.1,60,A Rose For Her Grave &amp; Other True Cases (Ann Rule's Crime Files),Ann Rule,1993,Pocket,1.3892016179603646
0553280414,4.0,99,A Separate Peace,John Knowles,1985,Bantam Books,1.8577148031453237
0375504613,4.346153846153846,78,A Short Guide to a Happy Life,ANNA QUINDLEN,2000,Random House,1.9100703186042967
0312952716,2.635294117647059,85,A Simple Plan,Scott Smith,1994,St. Martin's Press,1.490632911636094
0345389964,2.5324675324675323,77,A Son of the Circus,John Irving,1995,Ballantine Books,1.469238888348613
0345347536,3.754385964912281,57,A Spell for Chameleon (Xanth Novels (Paperback)),Piers Anthony,1987,Del Rey Books,1.7356392117028172
0440901588,3.75,52,A Swiftly Tilting Planet,Madeleine L'Engle,1979,Laure Leaf,1.7264482409577593
0061031992,1.8133333333333332,75,A Theory of Relativity,Jacquelyn Mitchard,2002,HarperTorch,1.2988806390329874
0061000043,3.1058823529411765,85,A Thief of Time (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1990,HarperTorch,1.6101282060958741
0553571885,2.214814814814815,135,A Thin Dark Line (Mysteries &amp; Horror),TAMI HOAG,1998,Bantam,1.344349421428448
0449907481,2.6523809523809523,210,A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,1992,Ballantine Books,1.470619654904907
0440211727,2.97678916827853,517,A Time to Kill,JOHN GRISHAM,1992,Dell,1.6189091571591836
0553582364,2.9558823529411766,68,A Traitor to Memory,Elizabeth George,2002,Bantam Books,1.571219803657051
006092988X,3.5681818181818183,88,A Tree Grows in Brooklyn,Betty Smith,1998,Perennial,1.7303020017873778
0375703063,2.3841463414634148,164,A Virtuous Woman (Oprah's Book Club (Paperback)),Kaye Gibbons,1997,Vintage Books,1.3857058888331788
0767902513,4.375,56,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,1998,Bantam Dell Pub Group,1.8608970409251089
0767902521,4.2439024390243905,205,A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail),Bill Bryson,1999,Broadway Books,2.045876410694985
0446608955,3.4295774647887325,284,A Walk to Remember,Nicholas Sparks,2000,Warner Books,1.7750962350401656
034543479X,2.377049180327869,122,A Widow for One Year,JOHN IRVING,2001,Fawcett,1.4012546063539986
0375501371,2.1666666666666665,54,A Widow for One Year : A Novel,JOHN IRVING,1998,Random House,1.412540757224808
0440487617,4.5,56,A Wind in the Door,Madeleine L'Engle,1974,Yearling Books,1.8864535351948708
0553262505,3.9705882352941178,68,"A Wizard of Earthsea (Earthsea Trilogy, Book 1)",URSULA K. LE GUIN,1984,Bantam,1.8014586637537569
0440498058,4.550632911392405,158,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling,2.104290439583211
0440998050,4.243589743589744,156,A Wrinkle in Time,Madeleine L'Engle,1976,Laure Leaf,2.0006149996434406
0679731148,3.7746478873239435,142,A Year in Provence,Peter Mayle,1991,Vintage Books USA,1.835832278948918
0446387878,2.8142857142857145,70,A Yellow Raft in Blue Water,Michael Dorris,1998,Warner Books,1.5386904114328914
002026478X,1.434782608695652,69,AGE OF INNOCENCE (MOVIE TIE-IN),Edith Wharton,1993,Scribner,1.2234857303701305
0684874350,4.115241635687732,269,ANGELA'S ASHES,Frank McCourt,1996,Scribner,2.0388964541443357
042517736X,1.6082474226804124,97,Abduction,Robin Cook,2000,Berkley Publishing Group,1.20843544852789
0821770209,1.2452830188679245,53,About Face,Fern Michaels,2003,Zebra Books,1.2314172212163272
1573227331,3.9047619047619047,105,About a Boy,Nick Hornby,1999,Riverhead Books,1.8390650851839332
1573229571,4.179245283018868,106,About a Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books,1.9174862799044634
0446603589,2.4338235294117645,136,Absolute Power,David Baldacci,1996,Warner Books,1.4121659138388092
0425151867,2.93,100,Acceptable Risk,Robin Cook,1996,Berkley Publishing Group,1.5657916625765227
0440217547,2.6973684210526314,76,Accident,Danielle Steel,1995,Dell,1.5094783908534661
0425114236,2.016949152542373,59,Accidental Tourist,Anne Tyler,1988,Penguin Putnam~mass,1.373340945158624
0684195488,2.088235294117647,68,Accordion Crimes,E. Annie Proulx,1996,Scribner,1.3743488942989976
0440225817,2.788732394366197,71,Acts of Malice,Perri O'Shaughnessy,2000,Island,1.5325655670617888
042515601X,2.1515151515151514,66,Acts of War (Tom Clancy's Op Center (Paperback)),Tom Clancy,1997,Berkley Publishing Group,1.3914593080584488
1573228737,2.9215686274509802,51,Affinity,Sarah Waters,2002,Riverhead Books,1.5639359124874517
0061091790,1.6891891891891893,74,After All These Years,Susan Isaacs,1994,HarperTorch,1.271261697717918
044023574X,1.8833333333333333,60,After the Fire,Belva Plain,2001,Dell Publishing Company,1.343205088287667
0688177859,3.2962962962962963,108,"Ahab's Wife: Or, The Star-Gazer: A Novel",Sena Jeter Naslund,2000,Perennial,1.6699590184650444
0345402871,2.845410628019324,207,Airframe,Michael Crichton,1997,Ballantine Books,1.5407922776082703
0449217264,1.8904109589041096,73,Alaska,James A. Michener,1994,Fawcett Books,1.3206547192992715
0385475713,2.267857142857143,56,Alias Grace,Margaret Atwood,1996,Nan A. Talese,1.430087566091978
0385490445,3.9404761904761907,84,Alias Grace : A Novel,Margaret Atwood,1997,Anchor,1.8205670535366714
038000321X,2.735294117647059,68,Alive : The Story of the Andes Survivors (Avon Nonfiction),Piers Paul Read,1975,Avon,1.5211678775490711
0671793489,3.0933333333333333,150,All Around the Town,Mary Higgins Clark,1993,Pocket Star,1.620874755114945
0316782262,2.6842105263157894,57,All He Ever Wanted,Anita Shreve,2003,"Little, Brown",1.5147041469016589
0894808249,5.238095238095238,63,All I Need to Know I Learned from My Cat,Suzy Becker,1990,Workman Publishing,2.0683778706106253
080410526X,2.8910505836575875,257,All I Really Need to Know,ROBERT FULGHUM,1989,Ivy Books,1.560109921507381
0449213943,3.689189189189189,74,All Quiet on the Western Front,Erich Maria Remarque,1995,Ballantine Books,1.74529559799337
0671873199,1.9090909090909092,55,All That Glitters (Landry),V.C. Andrews,1995,Pocket,1.3588180523840314
0380718332,2.75,184,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon,1.5071168595157443
0671027123,2.3793103448275863,58,All Through the Night (Holiday Classics),Mary Higgins Clark,1999,Pocket,1.4506568066619983
0679774025,3.574074074074074,54,All over but the Shoutin',Rick Bragg,1998,Vintage Books USA,1.6945667836430376
0679744398,2.2312925170068025,147,"All the Pretty Horses (The Border Trilogy, Vol 1)",CORMAC MCCARTHY,1993,Vintage,1.3427748258889711
0446364193,3.12751677852349,298,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books,1.6575732384664728
0380789035,4.006622516556291,302,American Gods,Neil Gaiman,2002,HarperTorch,2.0115719037474205
0380973650,3.3076923076923075,65,American Gods: A Novel,Neil Gaiman,2001,William Morrow,1.6490484704871622
0679735771,3.4909090909090907,110,American Psycho (Vintage Contemporaries),Bret Easton Ellis,2000,Vintage Books USA,1.7265281035636069
0385494246,3.0259740259740258,77,Amsterdam : A Novel,IAN MCEWAN,1999,Anchor,1.588582751830002
0375705198,2.4838709677419355,93,Amy and Isabelle : A novel,ELIZABETH STROUT,2000,Vintage,1.4473651578052076
0743411269,3.25,60,An Accidental Woman,Barbara Delinsky,2003,Pocket Books,1.6333370446846835
0425167720,2.3152173913043477,92,An Instance of the Fingerpost,Iain Pears,1999,Berkley Publishing Group,1.4034653060262068
0425129586,4.083333333333333,60,And Then There Were None,Agatha Christie,1995,Berkley Publishing Group,1.8102467741950592
0312979479,2.5416666666666665,72,And Then There Were None : A Novel,Agatha Christie,2001,St. Martin's Paperbacks,1.4745864382808818
0553579983,2.351063829787234,94,And Then You Die,Iris Johansen,1998,Bantam,1.4114154144130504
0449006344,2.0535714285714284,56,Angel Falls,KRISTIN HANNAH,2001,Ballantine Books,1.3862764330581003
0684872153,3.3374233128834354,326,Angela's Ashes (MMP) : A Memoir,Frank McCourt,1999,Scribner,1.7475255355625354
068484267X,3.6818181818181817,220,Angela's Ashes: A Memoir,Frank McCourt,1999,Scribner,1.8498441120059406
000649840X,3.5730337078651684,89,Angelas Ashes,Frank Mccourt,0,Harpercollins Uk,1.7324725767369016
0060008032,2.4423076923076925,104,Angels,Marian Keyes,2003,HarperTorch,1.4298393381635066
0671027360,3.718430034129693,586,Angels &amp; Demons,Dan Brown,2001,Pocket Star,1.9639577686014869
014016930X,2.4107142857142856,56,Angle of Repose (Contemporary American Fiction),Wallace Stegner,1992,Penguin Books,1.4592949881145632
0345438825,2.9074074074074074,54,Angry Housewives Eating Bon Bons,LORNA LANDVIK,2003,Ballantine Books,1.5609755079712444
0345442822,3.2753623188405796,69,Angry Housewives Eating Bon Bons (Ballantine Reader's Circle),LORNA LANDVIK,2004,Ballantine Books,1.644307594673688
0064472272,4.118181818181818,110,"Angus, Thongs and Full-Frontal Snogging: Confessions of Georgia Nicolson",Louise Rennison,2001,HarperTempest,1.9059367754978296
0375724370,3.1724137931034484,58,Anil's Ghost (Vintage International),Michael Ondaatje,2001,Vintage Books USA,1.6159546675757963
0060921145,3.216867469879518,166,Animal Dreams,Barbara Kingsolver,1991,Perennial,1.6653595290945615
0451526341,4.695121951219512,164,Animal Farm,George Orwell,2004,Signet,2.1603237333083256
0385319037,2.476923076923077,65,Animal Husbandry,Laura Zigman,2001,Delta,1.4649653627958472
0553296981,4.820143884892087,139,Anne Frank: The Diary of a Young Girl,ANNE FRANK,1993,Bantam,2.1628994665880135
0553213148,3.9238095238095236,105,Anne of Avonlea (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1984,Bantam Classics,1.844402211280704
055321313X,3.6030534351145036,131,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1982,Bantam Classics,1.7740939345537323
0553213156,2.8823529411764706,51,Anne of Ingleside (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1984,Bantam Classics,1.5563242416901344
0553213164,3.0793650793650795,63,Anne of Windy Poplars (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1983,Bantam Classics,1.597924138081634
0553213172,2.5238095238095237,84,Anne of the Island,Lucy Maud Montgomery,1983,Bantam Classics,1.462900870511889
0553213180,3.5185185185185186,54,Anne's House of Dreams,L.M. MONTGOMERY,1983,Bantam Classics,1.6834341773370547
038533656X,2.690909090909091,55,Apocalipstick,SUE MARGOLIS,2003,Delta,1.5170829949505376
0671534645,2.45,60,Apollo 13 : Lost Moon,Jim Lovell,1995,Pocket,1.4635037043547223
0842329269,3.710843373493976,83,Apollyon: The Destroyer Is Unleashed (Left Behind No. 5),Jerry Jenkins,2000,Tyndale House Publishers,1.7614277493814738
0440404193,3.7037037037037037,54,"Are You There God?  It's Me, Margaret",JUDY BLUME,1971,Yearling,1.720542865023664
0786817070,3.559748427672956,159,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids,1.7771277299150845
0060192119,2.5357142857142856,56,As Nature Made Him: The Boy Who Was Raised As a Girl,John Colapinto,2000,HarperCollins Publishers,1.4848514823843253
0061099341,2.234375,64,As the Crow Flies,Jeffrey Archer,1992,HarperTorch,1.4124899778973927
0553579606,2.0163934426229506,183,Ashes to Ashes,TAMI HOAG,2000,Bantam,1.2517597113765264
0380818973,2.689655172413793,58,Asking for Trouble: A Novel,Elizabeth Young,2001,Avon Trade,1.5153385783239193
0842329277,3.8275862068965516,58,"Assassins: Assignment: Jerusalem, Target: Antichrist (Left Behind No. 6)",Tim Lahaye,2000,Tyndale House Publishers,1.75250507441763
014025448X,3.042452830188679,212,At Home in Mitford (The Mitford Years),Jan Karon,1996,Viking Books,1.6128302487726243
0425117383,2.056603773584906,53,At Risk,Alice Hoffman,1989,Berkley Publishing Group,1.3923155300034362
0425177173,3.4038461538461537,104,Atlantis Found,Clive Cussler,2001,Berkley Publishing Group,1.6981117090374944
0451191145,4.252252252252252,111,Atlas Shrugged,Ayn Rand,1996,Signet Book,1.9458127870461388
038572179X,2.7865168539325844,178,Atonement : A Novel,IAN MCEWAN,2003,Anchor,1.520029928717661
0385503954,3.854368932038835,103,Atonement: A Novel,Ian McEwan,2002,Nan A. Talese,1.822663251494566
0380002450,2.7241379310344827,58,Awakening,Kate Chopin,1982,Avon,1.5225254418419105
0553280341,2.7584745762711864,236,B Is for Burglar (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1986,Bantam,1.5089120033174463
0684853507,4.430379746835443,79,BAG OF BONES : A NOVEL,Stephen King,1998,Scribner,1.9329093555388288
0767912233,2.8275862068965516,58,Babyville,JANE GREEN,2003,Broadway,1.5440860323958843
0670894184,2.634782608695652,115,Back Roads,Tawni O'Dell,2000,Viking Books,1.4802027356390635
0345446860,3.6946564885496183,131,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books,1.8022874146374162
0375412530,3.4193548387096775,93,Back When We Were Grownups: A Novel,ANNE TYLER,2001,Knopf,1.6953278152977964
0451204956,2.6666666666666665,51,Bad Boy,Olivia Goldsmith,2002,Signet Book,1.5144600523048897
0452281784,2.408450704225352,71,Bad Heir Day,Wendy Holden,2001,Plume Books,1.4443233801877102
0553568701,2.3692307692307693,65,Bad Love (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1994,Bantam Books,1.4411027377247512
067102423X,3.685567010309278,194,Bag of Bones,Stephen King,1999,Pocket,1.8387130983722362
037541309X,4.783783783783784,74,Balzac and the Little Chinese Seamstress,Dai Sijie,2001,Alfred A. Knopf,2.0047330704414215
0385722206,3.6572438162544167,283,Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,2002,Anchor,1.8649070001543644
0316779423,3.5421686746987953,83,Barrel Fever : Stories and Essays (Barrel Fever),David Sedaris,1995,Back Bay Books,1.7190907822425792
044661193X,3.3295454545454546,88,Basket Case,Carl Hiaasen,2003,Warner Books,1.6686836961288871
0452269571,4.0546875,128,Bastard Out of Carolina,Dorothy Allison,1993,Plume Books,1.909732630829222
0884046818,2.7,60,Battlefield Earth: A Saga of the Year 3000,L. Ron Hubbard,1991,Bridge Publications,1.5165766232078353
1551668998,2.9279279279279278,111,Beach House,Mary Alice Monroe,2002,Mira,1.5655398055761875
0385413041,2.8285714285714287,70,Beach Music,PAT CONROY,1995,Nan A. Talese,1.5419811180089507
0345313151,3.290909090909091,55,Bearing an Hourglass (Incarnations of Immortality (Paperback)),Piers Anthony,1991,Del Rey Books,1.6385421369201818
0385498802,3.857142857142857,175,Bee Season: A Novel,Myla Goldberg,2001,Anchor Books/Doubleday,1.8872563799528101
0671004573,2.5,176,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket,1.421654842810256
0684835983,3.2375,80,Before I Say Good-Bye : A Novel,Mary Higgins Clark,2000,Simon &amp; Schuster,1.6411958096950106
0449911446,4.078125,64,Before Women Had Wings (Ballantine Reader's Circle),Connie May Fowler,1997,Ballantine Books,1.8176849388244818
0552996181,3.6,75,Behind the Scenes at the Museum,Kate Atkinson,1996,Black Swan,1.7252476986348497
0312150601,2.3466666666666667,75,Behind the Scenes at the Museum : A Novel,Kate Atkinson,1999,Picador,1.4261543881678718
0060188731,3.912087912087912,91,Bel Canto,Ann Patchett,2001,HarperCollins Publishers,1.8232389524347348
0060934417,3.702857142857143,350,Bel Canto: A Novel,Ann Patchett,2002,Perennial,1.9041938463494994
0515093556,2.3333333333333335,69,Belinda,Anne Rice,1994,Jove Books,1.428926325541946
0571081789,3.7142857142857144,63,Bell Jar,Sylvia Plath,0,Faber Faber Inc,1.736292882943102
0452280621,2.8559322033898304,118,Beloved,Toni Morrison,1998,Plume Books,1.5445587528480689
0452264464,3.411111111111111,180,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,1.7362146560513818
0425178579,2.465909090909091,88,Betrayal in Death,Nora Roberts,2001,Berkley Publishing Group,1.4456841137457777
155166674X,2.6626506024096384,83,Between Friends,Debbie Macomber,2003,Mira Books,1.4983337393040574
0451202317,1.5,68,Beyond Eden,Catherine Coulter,2000,Signet Book,1.2408770913443854
0345445848,3.5784313725490198,102,Big Cherry Holler: A Big Stone Gap Novel (Ballantine Reader's Circle),Adriana Trigiani,2002,Ballantine Books,1.7451894368290846
0142004278,2.7058823529411766,51,Big Fish,Daniel Wallace,2003,Penguin USA (Paper),1.522071723102207
0345459202,3.710526315789474,76,Big Stone Gap,Adriana Trigiani,2003,Fawcett Books,1.7528814555877061
0345438329,3.791208791208791,182,Big Stone Gap: A Novel (Ballantine Reader's Circle),Adriana Trigiani,2001,Ballantine Books,1.8690525638825903
0425184129,3.246376811594203,69,Big Trouble,Dave Barry,2002,Berkley Publishing Group,1.6376804787004038
0345413865,1.894736842105263,95,Billy Straight : A Novel,JONATHAN KELLERMAN,1999,Ballantine Books,1.2885128905306322
0425177351,1.7794117647058822,68,Bio-Strike (Tom Clancy's Power Plays (Paperback)),Jerome Preisler,2000,Berkley Publishing Group,1.3042761977478263
0380716542,2.1363636363636362,66,Birds of Prey: A Novel of Suspense,J.A. Jance,2002,Avon,1.3880748320091334
0515137111,3.5344827586206895,58,Birthright,Nora Roberts,2004,Jove Books,1.6914167345147046
0671868691,3.2028985507246377,69,Bitter Harvest,Ann Rule,1999,Pocket,1.6277398047404772
051510521X,1.5555555555555556,54,Bitter Sweet,LaVyrle Spencer,1995,Jove Books,1.2900820878589978
0440224845,1.8243243243243243,74,Bittersweet,DANIELLE STEEL,2000,Dell,1.3032910153040973
0446609323,2.4864864864864864,111,Black Friday,James Patterson,1989,Warner Vision,1.4387821450862042
0451205146,2.925925925925926,54,Black Hawk Down (Movie Tie-in),Mark Bowden,2002,Signet,1.5646863767399053
0375504397,3.752577319587629,97,Black House,Stephen King,2001,Random House Trade,1.788059855130918
0425175405,2.8326359832635983,239,Black Notice,Patricia Daniels Cornwell,2000,Berkley Publishing Group,1.536944631265811
0440226104,2.79467680608365,263,Black and Blue,ANNA QUINDLEN,1999,Dell,1.523076628983516
0375500510,3.505050505050505,99,Black and Blue : A Novel,ANNA QUINDLEN,1998,Random House,1.7226674960790818
0552998001,3.5694444444444446,72,Blackberry Wine,Joanne Harris,2001,Black Swan,1.714798914200822
0385511612,3.2582781456953644,151,Bleachers,John Grisham,2003,Doubleday,1.6747048269478189
0446600253,3.9215686274509802,51,"Bless Me, Ultima",Rudolfo Anaya,1994,Warner Books,1.7580335178190403
0375502238,3.013793103448276,145,Blessings,ANNA QUINDLEN,2002,Random House,1.5944609423974156
0812969812,2.5454545454545454,55,Blessings : A Novel,ANNA QUINDLEN,2003,Random House Trade Paperbacks,1.4876383544730483
0156007754,4.351648351648351,91,Blindness (Harvest Book),Jose Saramago,1999,Harvest Books,1.938563551521075
0425136191,2.0588235294117645,68,Blindsight,Robin Cook,1993,Berkley Publishing Group,1.367675304151267
0380820889,2.701492537313433,67,Blindsighted,Karin Slaughter,2002,HarperTorch,1.5139015788771018
0425183750,2.232142857142857,56,Blood Lure,Nevada Barr,2002,Berkley Publishing Group,1.4227857105863317
0451208811,2.8823529411764706,51,Blood Orchid,Stuart Woods,2003,Signet Book,1.5563242416901344
0440204208,2.639344262295082,61,Blood Shot (V.I. Warshawski Novels (Paperback)),Sara Paretsky,1989,Dell,1.503135502803409
0446602620,3.0089285714285716,112,Blood Work,Michael Connelly,1998,Warner Books,1.5889222460952706
0345409329,1.293103448275862,58,"Blood and Gold (Rice, Anne, Vampire Chronicles.)",Anne Rice,2002,Ballantine Books,1.2242706058452748
0671016768,3.3518518518518516,54,Bloodstream,Tess Gerritsen,1999,Pocket,1.6500363584191065
0380728133,3.5217391304347827,69,Bloodsucking Fiends: A Love Story,Christopher Moore,1996,Perennial,1.7006380804466052
0441003745,4.166666666666667,54,Bloody Bones (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,2001,ACE Charter,1.8133145842401868
0399150897,3.1481481481481484,135,Blow Fly: A Scarpetta Novel,Patricia Cornwell,2003,Putnam Publishing Group,1.6350809110726616
0425184943,2.888888888888889,63,Blue Diary,Alice Hoffman,2002,Berkley Publishing Group,1.5564135146231934
0449204324,3.0,60,Blue Highways a Journey Into America,William Least Heat-Moon,1983,Ballantine Books,1.5802641258315706
1573222267,2.9423076923076925,52,Blue Shoe,Anne Lamott,2002,Riverhead Books,1.5679626569707794
0671038567,3.3157894736842106,57,Body of Evidence,Patricia Cornwell,1999,Pocket,1.645092053997424
0380717018,2.8,135,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,Avon,1.52663345064982
0553582143,2.268292682926829,123,Body of Lies,IRIS JOHANSEN,2003,Bantam,1.3681119457218405
1551665301,3.406779661016949,59,Book Club,Mary Alice Monroe,1999,Mira,1.6657153550074992
0767907817,3.5316455696202533,79,Bookends : A Novel,Jane Green,2003,Broadway,1.712764245046156
0446518581,2.1,70,Border Music,Robert James Waller,1995,Warner Books,1.3741550826299136
0515114693,3.2083333333333335,72,Born in Fire,Nora Roberts,1994,Jove Books,1.630399936174897
0515116750,2.5517241379310347,58,Born in Ice,Nora Roberts,1996,Berkley Publishing Group,1.4865911242519543
051511779X,3.0945945945945947,74,Born in Shame,Nora Roberts,1996,Jove Books,1.6043666006141817
0671743058,2.6956521739130435,92,Boy's Life,Robert McCammon,1992,Pocket,1.5037936608026827
0060929871,4.554621848739496,119,Brave New World,Aldous Huxley,1998,Perennial,2.047051404041418
